split,model_mae,model_rmse,model_mape,model_directional_acc,naive_mae,naive_rmse,naive_mape,naive_directional_acc,mae_improvement_vs_naive,rmse_improvement_vs_naive
train,0.21298036132773046,0.3713943716651974,0.02729446949371589,0.6611111111111111,0.24551389813423158,0.4489589697557637,0.031271161414987945,0.019444444444444445,0.03253353680650112,0.07756459809056632
valid,0.2693692556266841,0.5012903871713209,0.028635701762108747,0.6547619047619048,0.32186508557153126,0.6194474313828212,0.03246905816807912,0.007936507936507936,0.05249582994484714,0.1181570442115003
test,1.943601506848629,2.794024768484175,0.04502391403942764,0.5179856115107914,1.7974100044305374,2.6200555199678695,0.0416663696150264,0.007194244604316547,-0.14619150241809153,-0.17396924851630535
