split,model_mae,model_rmse,model_mape,model_directional_acc,naive_mae,naive_rmse,naive_mape,naive_directional_acc,mae_improvement_vs_naive,rmse_improvement_vs_naive
train,0.23700000800584492,0.43776132130702144,0.030045832902897914,0.018421052631578946,0.23700000800584492,0.43776132130702144,0.030045832902897914,0.475,0.0,0.0
valid,0.32186508557153126,0.6194474313828212,0.03246905816807912,0.007936507936507936,0.32186508557153126,0.6194474313828212,0.03246905816807912,0.5238095238095238,0.0,0.0
test,1.7974100044305372,2.620055519967869,0.0416663696150264,0.007194244604316547,1.7974100044305372,2.620055519967869,0.0416663696150264,0.460431654676259,0.0,0.0
